system   D            wsystem.c:583  maybe_parent_dir                 [   0.00089] Also searching C:\Users\polack-admin\Desktop\SimpleShooter\
display  D   display_settings.c:506  _al_score_display_settings       [   0.01452] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01453] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01454] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01455] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01456] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01456] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01457] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01458] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01460] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01461] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01462] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01463] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01463] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01464] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01465] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01467] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01467] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01468] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01469] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01470] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01471] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01472] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01474] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01475] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01476] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01476] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01477] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01478] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01479] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01480] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01481] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01482] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01483] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01484] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01484] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01485] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01486] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01487] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01488] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01489] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01490] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01491] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01491] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01493] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01494] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01495] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01496] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01497] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01498] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01498] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01499] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01500] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01501] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01502] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01503] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01504] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01505] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01506] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01506] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01507] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01508] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01509] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01510] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01511] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01512] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01512] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01513] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01514] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01515] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01516] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01517] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01518] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01519] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01519] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01520] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01521] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01522] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01523] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01524] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01525] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01526] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01526] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01527] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01528] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01529] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01530] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01531] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01532] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01533] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01533] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01534] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01535] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01536] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01537] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01538] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01539] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01540] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01540] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01541] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01542] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01543] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01544] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01545] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01546] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01547] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01547] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01549] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01550] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01551] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01552] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01554] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01555] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01556] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01556] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01557] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01558] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01560] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01561] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01562] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01563] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01564] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01565] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01566] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01567] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01568] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01569] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01569] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01570] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01571] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01572] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01573] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01574] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01575] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01576] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01577] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01578] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01578] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01579] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01580] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01581] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01582] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01583] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01584] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01585] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01586] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01587] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01588] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01589] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01590] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
